Question;Answer;DocumentList
I have a question regarding the skill class grade. The skill class grade only affects the final grade for the project correct? Also, from what I understand from the grading and assessment, it's worth a total of 10% of the final grade so if you missed one skill class, you would only miss out on 5% of the final grade, correct?;Your final grade is equal to your 0.9*(ProjectGrade or IndividualGrade) + SkillClass Grade. So the skill class grade effects the final grade for 1 point. If you miss zero skill classes you have 1 point, if you miss one skill class, you have 0.5 point, if you miss two skill classes you have 0 points on the skill class grade. If you miss three or more skill classes, then you receive an NG for the whole project (i.e., final grade = NG).;35, 36, 37, 38, 39, 40
Is my thought process correct with how the grade works? It is in the end only worth 10% of the grade?;It is worth 10% of the final grade, yes. Say, for example, that you’ve missed one skill class, then the highest grade you can achieve for the project is a 9.5/10.;36, 38
Yesterday, I wasn’t able to complete the skill class because I was very sick unfortunately. I went to the doctor today and he gave me a paper that says that I’m unable to be present for the presentation of tomorrow and Friday. I have already spoke to my group so everything is fine. I just hope you understand that I really couldn’t even open my laptop yesterday so making the skill class was very difficult for me to do.; As coordinator and skill class teacher, I can only take note of attendance/submission. If you did not submit your skill class assignment, you receive a fail on the skill class. What you can do, is email the BoE to ask claim a force majeure (and then they might give you a repair assignment to fix the failed skill class). Regarding your presence in the assessment moments, the rules and regulations state the following: “Failure to participate in the final project presentation means that the student cannot be graded for the presentation and the grade for the rubrics concerning the presentation will count as 0. If a student does not participate in the product and report examination (if applicable), or misses in total two or more of the aforementioned assessment moments, there is insufficient bases for assessing the individual contribution of the student, with the consequence that an NG is awarded for the overall project of the student involved.” This means that if you would miss both examinations, you would receive an NG. However, I think that because you are sick you have a claim. Make sure to also mention this in your email to the BoE. Please be precise and make a clear distinction between both cases (the skill class versus the examination moments).;30, 43, 44, 6, 11
I am informing you that we are going to leave 2 people out of the Overview of Who Did What, since they did not help the group at all this Phase. Can you please tell me what repercussions this can have on the 2 individuals and on the group grade?; Group grade: maybe the project management grade, but the effect will be very limited. Individual: they will be thoroughly questioned during the P&R, but you as well because it’s a strong move. Expect an intense discussion. I would take a less aggressive approach and add them but indicate honestly what they did. And if that’s zero that’s zero. But don’t catch them off guard. Bring it in the open.;48, 49
We will add them and mark the contribution with a 0, but can you tell us what proof we need to have with us to back our claim? Or we will just be questioned about it, no proof needed, and we can back your arguments verbally?;Proof could be communication (whatsapp/discord/etc.), gitlab (upload) records, prior who did whats.;48, 49
I had to be about 35 minutes late for today's project meeting due to religious reasons. I'm a Muslim, and so I had to attend the mandatory Friday prayers at the mosque, which is on the other side of Maastricht from our campus, which made me late for the project meeting. I've been noted down as absent from the meeting and told to email you. I also emailed you about the same problem last week (since the last project meeting was also on Friday), and I had received no response, so please let me know if I won't be penalized for both project meetings. Thank you for your time.;Project Meetings are mandatory on site sessions. If you’re not present when the tutors checks the attendance, then you do not get the attendance. You now have 2 missed project meetings in Phase 3, which means that you receive an automatically lowered individual grade, which will be determined by the examiners.;30, 31
Is there no exception for religious obligations? I had mandatory prayers I had to attend, and I was only late by 35 minutes. Other than those two meetings I've been extremely diligent with attending project meetings and submitting assignments. I don't have any missed skill classes or project meetings from the first or second phases, and so I don't think I deserve a lowered individual grade for something outside of my control.;Project Meetings have mandatory on site attendance, see rules and regulations. This has been addressed during the Introduction to Project Work Skill Class and consistently communicated by all tutors. Note that we can only take note of attendance/absence. You can attempt to argue a force majeure with the BoE, but, as far as I know, there are no exceptions for religious obligations, so I think you chances are slim.;30, 31, 6, 11, 33
Could I know how much of the individual grade exactly is lowered?;This is determined by the examiners after the product and report examination.;48
Sorry to bother you today with this, but I am not feeling well since yesterday night, I do have a meeting tomorrow for the project but in case i cannot attend, do I need to give a doctors note? I will be on a call with my team anyway and I will do the work assigned.;Project Meetings are mandatory on site sessions. Online attendance does not count. In phase 3, you get a lowered individual grade if you miss 2 project meetings. If you miss 3 or more project meetings, you receive a zero on the phase. I see that you currently have zero missed project meetings so if you would miss one, there’s no issue per se.; 30, 31
I was unable to attend the meeting right now, as when I was waiting at the bus stop, the bus didn't stop for me. There are buses that run one of which is Belgian, which comes first. Since I'm Dutch and have the student Ov, I didn't take that bus. Instead, I was going to take the number 4, where my ov works. As the bus approached, I stand up so it sees me and stops, but the bus drove right past me, At this point, I panicked a little bit because the next bus would not let me reach on time as the commute to the faculty is a little over an hour long. I immediately booked an Uber to try and reach on time and waited almost 35 minutes for an Uber, but uber could not find a driver. I have a screenshot of this, I understand I have already used my force majeure and missed one meeting, but I genuinely tried to make the meeting, but nothing was working in my favor. Please tell me what I can do now.;Let’s make the following clear first: The pre-examination counts as a project meeting. If you miss 2 project meetings in Phase 3, you receive an automatically lowered individual grade. If you miss 3 or more project meetings in Phase 3, then you receive a zero on Phase 3. You now have 2 missed project meetings. If you believe you could not be present during both instances (the project meeting and the pre-examination) due to force majeure, then you can argue that to the BoE. If they decide in your favor, then you will be exempted from both meetings, but the examiners will still investigate whether a lowered individual grade is appropriate (but it’s no longer automatic).;30, 31, 33, 6, 11
I was on the phone with emergency and ER GPs and they informed me of a week of recovery due to nerve issues prescribing many painkillers and bedridden. I have discussed with my group and will continue work from home. However I worry about the pre-examination also affecting my skill point. Would you inform me on what i should do if i miss the preexam and 1 meeting?;The pre-examination counts as a project meeting. If you miss the pre-examination and a project meeting, you will receive an automatically lowered individual grade (determined by the examiners). You can argue a force majeure with the BoE if you think your case is valid. Note that, if they choose to exempt you, you could still receive a lowered individual grade if the examiners feels that you have not contributed sufficiently to the project.;30, 31, 33, 6, 11
Is the pre-examination meeting mandatory for all team members or not?;Yes, the pre-examination is mandatory for all team members.;.
"From the beginning of the project the actual workload distribution did not correspond at all compared to the percentages my team presented, but lately my teammates and I have been struggling to deal with one of our group members in particular. This person hasn't participated in any part of the project at all and only shows up for the project meetings and when we do the """"who did what"""". He doesn't work on any task, because he says that he is """"researching"""". We have given him time to choose a task or help someone else, we also tried to text him directly to ask for help, but he didn't answer any of the messages. What should we do?"; Can you clarify what you mean with “hasn’t participated in any part of the project at all”? Especially in combination with the who did what. The who did what forms are considered the “ground truth” for the examiners as this a document agreed upon by the group. This means that we cannot change the distribution as reported in the who did what’s of Phase 1 and 2. I advise you strongly to be as honest as possible in the Phase 3 version of the who did what. The examiners will pick this up during the product and report examination. Usually this results in an individual grade for the person in question (this could be a failing grade). The rules and regulations state that the project is team work and therefore everyone should contribute actively. If not, the coordinator (that’s me) can issue a formal warning to the person in question. If the person does not change their behavior after the formal warning they are kicked out of the project and receive an NG. What you can therefore do, is make a work distribution for the coming days that you all agree upon. The work distribution is a table with your names in the rows and as columns “who”, “what”, “by when”, and “acceptable outcome”. You email this table to all your team mates and me and the counsellors. I can than issue a formal warning.;76, 77, 78
I'm sorry I need to know if a retake is possible for phase 3, as I need to book flights. It would be very helpful if I am able to work from Egypt as I need to use crutches for 1 month. Therefore, the commute to the faculty will be quite difficult, as I can't use my bicycle, and there is no direct bus route to the faculty. I am preforming the tasks assigned to me by the group and can continue to do so. Sorry for the late notice, but I feel really sick right now and I slept through my alarm so I won't be able to attend todays project meeting for group KEN X.;" Article 5.8 in the rules and regulations provides all the information you seek: ""The resit is a repair opportunity, and the method shall be determined by the examiners. Repair opportunities can be individual or on a group level, where changes will be permitted to the composition of the original project group. Students who were expelled from the project or did not receive a grade in the current academic year are not allowed to take the project resit. A repair opportunity will only be offered if the grade is 4.0 or more (hence an NG is ineligible for a resit) to ensure that a student has obtained sufficient practical training. The student(s) will receive the resit assignment from the examiners within 2 working days after failing the project. This additional assignment must be handed in within 10 working days. If completed successfully, the student will receive a 6.0 for the project.""";52
My dad is getting married on Friday 12/01/2024. So I was wondering if I could miss the project meeting on this day.;Project meetings are mandatory on site sessions. Rules and regulations state that: “If two meetings are missed in the third block of the semester, the student will automatically receive a lowered individual grade. If three or more meetings are missed in the third block of the semester, the student will not have access to the exam of that project phase and that phase will count as grade zero.” You can miss one project meeting in Phase 3 to cover force majeure, and may only be used as such, which is determined by the BoE.;30, 31
Thank you for the clarification so how do I know if I can miss the meeting  without being sanctioned is it a good reason to miss it? Or it will count as I was absent?;You can put your case before the BoE to figure out if force majeure counts. Usually it helps to ask my advice first and I think they won’t count it as a force majeure. My point is that if you’re going to miss only one Project Meeting, there’s in principle no direct consequence. As we only have consequences in place from 2 missed project meetings. However, say you miss a second project meeting for whatever reason, then you have to prove force majeure for all missed project meetings and that might be tricky.;30, 31, 33
I missed yesterday's project meeting, the reason for this was because I woke up in the morning extremely sick with a big coff and a headache, I am really sorry for this. It is acceptable to miss a project meeting in case of disease, isn't it?;Project Meetings are mandatory on site sessions. If you miss 2 (two) project meetings in Phase 3, you receive an automatically lowered individual grade. If you miss 3 (three) or more project meetings in Phase 3, you receive a zero for the phase. So, in principle, as long as you miss only project meeting, there’s no issue. However, it is smart to keep proof of your illness in case you need to prove force majeure with the BoE. (Just your statement does not count, but a doctor’s note or something like that would.);30, 31, 33
Due to unforeseen weather conditions in Romania, my scheduled flight on Sunday was canceled. As a result, I had to make alternative arrangements and took another flight today in order to fulfill my commitments. Regrettably, this unexpected change in travel plans resulted in my inability to attend today's group meeting as planned. I understand the importance of my presence and contribution to these meetings, and I sincerely apologize for any inconvenience my absence may have caused. Given the circumstances, I would like to request your understanding and support in providing a brief explanation or documentation to motivate my absence from today's meeting. I am committed to ensuring that my responsibilities are fulfilled promptly despite these unforeseen challenges. Please let me know if there is any additional information required from my end to support this request. I appreciate your assistance and understanding in this matter. I look forward to catching up and contributing to the team's endeavors in our next meeting.;Project Meetings are mandatory on site sessions. You have to be physically present to obtain the attendance check. Hence, you do not have the attendance for the first project meetings. Note that in Phase 2 you receive an automatically lowered individual grade if you miss two project meetings. (The reduction is determined by the examiners.) If you miss 3 or more project meetings, then you receive a zero for the Phase 3 grade (which counts for 70% in the project grade). You currently have 1 missed project meeting. Make sure you don’t miss any other meetings. (Note that the pre-examination also counts as a project meeting.) Say you would miss another project meeting, it’s important to document everything. Make sure you have proof of the unforeseen weather conditions and the canceled flight and the dates of the new flight. This is important in case you have to proof force majeure to the BoE in case of a second missed project meeting.;30, 31, 33
I am contacting you because I saw on Canvas that I have 2 missed classes. It appears that one of them is the citing and referencing class, which I joined but did not submit the assignment on time due to not realising there was a problem with the textbox. The other one is the peer review class, which I do not know why I failed, because on Canvas it shows that I have submitted it.;"You have 2 failed skill classes: the first one is ""Elementary Writing"" because you did not fill out the peer feedback. The other one is ""Citing & Referencing"" because you did not submit the pre-task. This means your skill class grade is 0. Be careful not to miss another skill class because three failed skill classes will result into an NG.";39, 40
I know that it shows I have missed skills classes, but my question is why and how that can be fixed. Since, as shown in the screenshots in the previous email and this one, I have submitted both assignments. But especially, I’m writing about the Citing & References skills class. I submitted the pre-task on time at first, but I put the citation in a text entry box along uploading the rest as PDF files. So that citation line didn’t upload, and I wasn’t made aware of this until the grades were up and other people started having the same problem. As soon as I was made aware of the issue, I reuploaded everything as a PDF. Unfortunately, due to this, the assignment status says I was “late”. Therefore, I kindly ask you whether it would be possible to not put that skills class as missing, since it clearly was a glitch on canvas that the students weren’t made aware of.;"Response ""Elementary Writing"": you submitted a report, but you did not do the peer feedback part of the assignment, which means you fail the skill class. There’s no discussion here. The decision is final. Response ""Citing & Referencing"": you can contact the skill class teacher in CC. If he agrees, I can change your skill class grade. Otherwise, again, final decision.";.
I would like to ask regarding the grading of the project because I missed 3 skill classes and I missed the presentation for phase 2, so I am confused whether I passed onto phase 3 or not. Therefore can you please clarify this?;You have 4 failed skill classes, which means you receive an NG for the project.;40
I was unable to physically attend the project meeting today, but I did join via Google Meet. I told my group in advance, and they were okay with it. I arrive in Maastricht tomorrow, and the reason I wasn't really able to come earlier was because of a lack of housing. I was one of 500 students who were meant to move into Nido Living, but due to construction issues, they were unable to provide us with housing. Please let me know what I can do about missed attendance and whether or not joining online counts. I am currently still in the meeting and am going to be here for the full 2 hours. If i do not get attendance does my scenario fall under force majeur?;Project Meetings are mandatory on site sessions. If you’re not physically present, you cannot receive the attendance check. In your case, it seems reasonable to attempt to argue for a force majeure with the BoE.;6, 11, 31, 33
Im terribly sorry about the missing skill classes, i was not properly informed that skill classes were important and this is entirely my fault. My question is, i dont wanna drop out from the project and want to continue, even though i dont have much knowledge in coding im trying my best to help my teammates as much as i can and i dont want them to be in a harsh place because of my mistake. Is there ANYTHING i can do to get back on the project?;"You have 4 missed skill classes. The ""Elementary Writing"" skill class: did not submit elementary writing quiz and did not participate in the peer feedback. For ""Citing & Referencing"" you did not submit pre-task. For ""Presenting 2"" you did not submit any of the tasks. Lastly, for fourth skill class about ""Team Dynamics 1"" you did not submit pre-task. Unfortunately, there’s nothing we can do. You will receive an NG for the project and you are removed from the project. If you believe you have a good reason for missing these skill classes, you can email the BoE, but as you indicate yourself you were simply not aware of its importance, which is weird as you did complete the onboarding quiz so I assume you knew.";6, 11, 31, 33
Due to a conflict between the University's schedule and the Airport's flight plan I won't be able to attend tomorrow's project meeting as a member of Group 24. My tickets were booked before the publishing of the meetings' dates and by that time it had become financially infeasible for my family to rebook them. I have read the past announcements that reference this sort of situation and I hope you can understand since the alternative would entail two days of constant travel (due to no immediate flight existing) and a monetary investment of my family that they can't afford due to the difference in salaries between the two countries. I have already discussed the matter with my groupmates and I will back in time for the next meeting on the 11th.;Project Meetings are mandatory on site sessions. Rules and regulations state the following “If two meetings are missed in the third block of the semester, the student will automatically receive a lowered individual grade. If three or more meetings are missed in the third block of the semester, the student will not have access to the exam of that project phase and that phase will count as grade zero.” You can miss one Project Meeting in Phase 3 but it can only be used for force majeure, which is determined by the BoE.;6, 11, 31, 33
I have unfortunately fallen ill and I am unsure about my capability to participate in the project meeting that we have tomorrow. How do I go about this situation? I am doing the most I can do in order to get better as soon as possible and in the scenario I feel better tomorrow I will attend the project meeting.;"The rules and regulations state the following regarding the project meetings in Phase 3: If two meetings are missed in the third block of the semester, the student will automatically receive a lowered individual grade. If three or more meetings are missed in the third block of the semester, the student will not have access to the exam of that project phase and that phase will count as grade zero."" You can miss one project meeting per semester to cover force majeure. In case you have to proof force majeure to the BoE, it is wise to keep a doctor’s note so that you can prove your illness.";6, 11, 31, 33
I am planning to drop out of the Data Science course later this year but still plan to follow several Math courses for an accelerated program at a different university. Therefore, continuing with the group project has little value since I will not be needing the credits. Is there any way to deregister myself from the group project?;It is wise to contact the student counsellors about this. You can put me in CC if you want. Their email address is dacs-counsellors@maastrichtuniversity.nl.;.
I hope this message finds you well. I am writing to inform you that, regrettably, I will be unable to attend the mandatory project meeting scheduled for this coming Tuesday. Due to health-related reasons, I have been advised by my healthcare provider not to travel until the completion of my ongoing treatment. I'd like to know if this absence, due to unexpected circumstances, will be considered as a missed meeting or if there's an option for alternative arrangements. I assure you of my commitment to the project and am prepared to take necessary steps to ensure I am up-to-date with any information discussed or tasks assigned during the meeting. Please let me know if there's any additional information required from my end.;Project meetings are mandatory on site sessions. If you’re not present physically, then you do not get the attendance check. It is wise to support your team via video conferencing, but you will not get the attendance. In Phase 3, you receive an automatically lowered individual grade if you miss 2 project meetings. The lowering is determined by the examiners so I can’t say anything about that. If you miss 3 project meetings, you get a zero for Phase 3 which usually means you fail the phase because Phase 3 counts for 70% in the project grade. If you only miss one project meeting, then in principle there’s no issue. You can attempt to request an exemption from the board of examiners, but I don’t think it’s necessary for now if you only miss one project meeting.;31, 33
I wanted to ask you a question related to the project meetings and the pre-examination. Two days ago, I had a surgery on my toe in my home country and even though I got discharged, it is recommended to me to visit the hospital every day for monitoring and dressings for the next one or two weeks(depending on my physical condition). My question is, if I show proof about the surgery and the recovery, can I participate in the project meetings and in the pre-examination online instead of on site?;Project Meetings are mandatory on site sessions, as per rules and regulations. If you’re not physically present, you do not get the attendance check. If there’s no way for you to be here, you can join via video conferencing, but you will not get the attendance.;31, 33
So to clarify even with my undergoing medical issue, I can't be exempted from attending project meetings on site? Also doesn't my case count as force majeure? Additionally, I want to ask if I don't have attendance for two projects meetings, by how much is my grade lowered?; You can attempt to argue a force majeure to the BoE in order to get an exemption for the affected project meetings. (I do not decide whether or not something is force majeure, that’s the BoE’s responsibility.) I’m not 100% sure if the BoE will exempt your case because it’s unclear if this was planned or unplanned surgery. If it was the former, you could have foreseen this issue and don’t think they will count it as a force majeure then, but you can try. If you do not get an exemption and you would miss 2 project meetings, your grade is automatically lowered. This is decided by the examiners, hence, I cannot say anything about how much it would be lowered.;6, 11, 31, 33
